column,missing_values,mean,std,min,median,max
btc_return_1w,0,0.014554823373973213,0.08880386410179907,-0.2961208947097115,0.0040669279289107,0.3888948657162048
btc_return_2w,0,0.03015961204938743,0.13300262370947113,-0.3495984775566209,0.0113882835078495,0.6540829131353658
btc_return_4w,0,0.06365154935803591,0.2031924971291766,-0.3818615270719211,0.0214643468395163,1.2591409038066508
btc_range_pct,0,0.12158651953268133,0.06918211438709057,0.0251843288024171,0.1047298571179723,0.5350042371723311
btc_volume_change_1w,0,0.028284085624884932,0.23890615840257562,-0.5491719310683716,-0.0086535784312106,0.85763809043625
btc_vwap_distance,0,0.005065289372361864,0.04530718414683494,-0.1259760338334781,0.0014113455405582,0.167306150920677
btc_sma_ratio_4w,0,0.017425018753771268,0.08554350801316583,-0.2623588194513718,0.0080990365764712,0.3832685757356457
btc_volatility_4w,0,0.07509807976083402,0.04346113345242838,0.0055650795814172,0.0699581102993529,0.2394938105850904
btc_sma_ratio_8w,0,0.04209251748267212,0.14550053824934447,-0.3205102983445734,0.0214731544541997,0.7136191580124922
btc_volatility_8w,0,0.08207547804417663,0.03366540523032207,0.0207584546750361,0.074088260789009,0.1936577904085574
btc_sma_ratio_12w,0,0.06493691081707602,0.19626742039267503,-0.40066646085751,0.0362513965022484,0.967535410217638
btc_volatility_12w,0,0.08441607832390385,0.029521068179108417,0.0345680022904931,0.0753699310796012,0.1725216038733065
btc_rsi_14w,0,56.383369914189764,18.910933641195612,11.557326811734086,57.69812551007409,93.76245443660908
btc_macd,0,1746.384048637401,4027.072610359512,-6214.72192658544,1347.4166869159017,11210.898287206071
btc_macd_signal,0,1624.4005944803243,3658.809094393886,-5378.268573302729,1429.8573677380764,10090.55797943613
market_GLD_return_1w,0,0.0020518684012985626,0.019783298024459176,-0.0615113945572471,0.0019012442500518,0.0569391466802586
market_QQQ_return_1w,0,0.004700548825367658,0.030229404981226962,-0.074524371980847,0.0048715094948663,0.0953809563117817
market_SPY_return_1w,0,0.003832129351992537,0.024066758154640572,-0.0614161190126084,0.0056664684612846,0.1209154658544713
macro_US10Y_close,0,2.7626842031112084,1.391107200644306,0.5360000133514404,3.1559998989105225,4.923999786376953
macro_US20Y_close,0,121.39554654634915,27.064081620832507,83.23999786376953,112.5,171.0
macro_US30Y_close,0,3.1093967622108307,1.1666797894302925,1.1770000457763672,3.2690000534057617,5.089000225067139
macro_VIX_close,0,20.497246981632372,6.12600537720119,11.93000030517578,19.31999969482422,41.66999816894531
macro_US10Y_change_1w,0,0.01632388641959742,0.12896458321142548,-0.4079997539520263,0.0179998874664311,0.3440001010894775
macro_US20Y_change_1w,0,-0.32955466204809275,2.503426446383242,-7.4799957275390625,-0.2399978637695312,6.19000244140625
macro_US30Y_change_1w,0,0.01456275256539163,0.11750961683431017,-0.3469996452331543,0.0060000419616699,0.3269999027252197
macro_VIX_change_1w,0,-0.12489878310848346,3.243072516800021,-13.159999847412111,-0.220001220703125,11.56999969482422
fear_greed_value,0,50.835454019664546,22.070921246796125,9.0,51.0,93.42857142857144
fear_greed_change_1w,0,0.25043377674956635,9.062424931908687,-35.71428571428571,0.2857142857142847,36.71428571428572
target_next_week_return,0,0.01444376277351604,0.0888146572156723,-0.2961208947097115,0.0031762246928863,0.3888948657162048
target_next_week_up,0,0.5141700404858299,0.5008139913136681,0.0,1.0,1.0
